id,state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge
3,NJ,137,415, 358-1921, no, no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29
4,OH,84,408, 375-9999, yes, no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78
5,OK,75,415, 330-6626, yes, no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73
7,MA,121,510, 355-9993, no, yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03
10,WV,141,415, 330-8173, yes, yes,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02
12,RI,74,415, 344-9403, no, no,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46
15,IA,62,415, 366-9238, no, no,0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54
17,ID,85,408, 350-8884, no, yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73
19,VA,76,510, 356-2992, no, yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7
20,TX,73,415, 373-2782, no, no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51
21,FL,147,415, 396-5800, no, no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86
23,AZ,130,415, 358-1958, no, no,0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57
24,SC,111,415, 350-2565, no, no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08
27,WY,57,408, 357-3817, no, yes,39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57
28,MT,54,408, 418-6412, no, no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97
29,MO,20,415, 353-2630, no, no,0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7
30,HI,49,510, 410-7789, no, no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3
